Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2,0,246.64,2959.68,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (t3.large)"
My Estimate,US East (Ohio),,Amazon EC2,0,254.52,3054.24,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (c5.large)"
My Estimate,US East (Ohio),,Amazon Aurora MySQL-Compatible,0,8307.432,99689.18,USD,"Change records per statement (0.38), Instance Type (db.x2g.8xlarge), Nodes (2), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (20 TB), Additional backup storage (25 TB)"
My Estimate,US East (Ohio),,S3 Standard,0,235.8,2829.60,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (Ohio),,S3 Management and Analytics,0,0,0.00,USD,
My Estimate,US East (Ohio),,Data Transfer,0,921.6,11059.20,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (10 TB per month)"
My Estimate,US East (Ohio),,Amazon Route 53,0,2351,28212.00,USD,"Hosted Zones (2), Basic Checks Within AWS (200), Number of Elastic Network Interfaces (20)"
My Estimate,US East (Ohio),,VPN Connection,0,1392,16704.00,USD,"Working days per month (22), Number of subnet associations (4)"
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,74.7,896.40,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),,Gateway Load Balancer,0,142.35,1708.20,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (2), Total processed bytes (20 GB per hour)"
My Estimate,US East (Ohio),,Application Load Balancer,0,5872.85,70474.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
